IATA,ICAO,Airport name,Country,City
AAA,NTGA,Anaa Airport,French Polynesia,
AAB,YARY,Arrabury Airport,Australia,
AAC,HEAR,El Arish International Airport,Egypt,El Arish
AAD,,Adado Airport,Somalia,Adado
AAE,DABB,Rabah Bitat Airport,Algeria,Annaba
AAF,KAAF,Apalachicola Regional Airport,United States of America,Apalachicola
AAG,SSYA,Arapoti Airport,Brazil,Arapoti
AAH,EDKA,Aachen-Merzbrück Airport,Germany,Aachen
AAI,SWRA,Arraias Airport,Brazil,Arraias
AAJ,,Cayana Airstrip,Suriname,Awaradam
AAK,NGUK,Buariki Airport,Kiribati,Buariki
AAL,EKYT,Aalborg Airport,Denmark,Aalborg
AAM,FAMD,Malamala Airport,South Africa,Malamala
AAN,OMAL,Al Ain International Airport,United Arab Emirates,Al Ain
AAO,SVAN,Anaco Airport,Venezuela,Anaco
AAQ,URKA,Anapa Vityazevo Airport,Russia,Anapa
AAR,EKAH,Aarhus Airport,Denmark,Aarhus
AAS,,Apalapsili Airport,Indonesia,Apalapsili
AAT,,Altay Air Base,China,Altay
AAU,NSAU,Asau Airport,Samoa,Asau
AAV,RPMA,Allah Valley Airport,Philippines,Surallah
AAX,SBAX,Romeu Zema Airport,Brazil,Araxá
AAY,OYGD,Al Ghaidah International Airport,Yemen,Al Ghayzah
AAZ,MGQZ,Quezaltenango Airport,Guatemala,Quezaltenango
ABA,UNAA,Abakan Airport,Russia,Abakan
ABB,DNAS,Asaba International Airport,Nigeria,Asaba
ABC,LEAB,Albacete-Los Llanos Airport,Spain,Albacete
ABD,OIAA,Abadan Airport,Iran,Abadan
ABE,KABE,Lehigh Valley International Airport,United States of America,Allentown
ABF,NGAB,Abaiang Airport,Kiribati,Abaiang
ABG,YABI,Abingdon Downs Airport,Australia,
ABH,YAPH,Alpha Airport,Australia,Alpha
ABI,KABI,Abilene Regional Airport,United States of America,Abilene
ABJ,DIAP,Port Bouet Airport,Ivory Coast,Abidjan
ABK,HAKD,Kabri Dehar Airport,Ethiopia,Kabri Dehar
ABL,PAFM,Ambler Airport,United States of America,Ambler
ABM,YBAM,Northern Peninsula Airport,Australia,Bamaga
ABN,SMBN,Albina Airport,Suriname,Albina
ABO,DIAO,Aboisso Airport,Ivory Coast,Aboisso
ABP,,Atkamba Airport,Papua New Guinea,Atkamba Mission
ABQ,KABQ,Albuquerque International Sunport,United States of America,Albuquerque
ABR,KABR,Aberdeen Regional Airport,United States of America,Aberdeen
ABS,HEBL,Abu Simbel Airport,Egypt,Abu Simbel
ABT,OEBA,Al Baha Airport,Saudi Arabia,Al Bahah
ABU,WRKA,Haliwen Airport,Indonesia,Atambua-Timor Island
ABV,DNAA,Nnamdi Azikiwe International Airport,Nigeria,Abuja
ABX,YMAY,Albury Airport,Australia,Albury
ABY,KABY,Southwest Georgia Regional Airport,United States of America,Albany
ABZ,EGPD,Aberdeen Dyce Airport,United Kingdom,Aberdeen
ACA,MMAA,General Juan N Alvarez International Airport,Mexico,Acapulco
ACB,KACB,Antrim County Airport,United States of America,Bellaire
ACC,DGAA,Kotoka International Airport,Ghana,Accra
ACD,SKAD,Alcides Fernández Airport,Colombia,Acandí
ACE,GCRR,Lanzarote Airport,Spain,Lanzarote Island
ACF,YBAF,Brisbane Archerfield Airport,Australia,Brisbane
ACH,LSZR,St Gallen Altenrhein Airport,Switzerland,Altenrhein
ACI,EGJA,Alderney Airport,Guernsey,Saint Anne
ACJ,VCCA,Anuradhapura Air Force Base,Sri Lanka,Anuradhapura
ACK,KACK,Nantucket Memorial Airport,United States of America,Nantucket
ACL,,Aguaclara Airport,Colombia,Aguaclara
ACM,,Arica Airport,Colombia,Arica
ACN,MMCC,Ciudad Acuña New International Airport,Mexico,Ciudad Acuña
ACP,OITM,Sahand Airport,Iran,Maragheh
ACR,SKAC,Araracuara Airport,Colombia,Araracuara
ACS,UNKS,Achinsk Airport,Russia,Achinsk
ACT,KACT,Waco Regional Airport,United States of America,Waco
ACU,,Achutupo Airport,Panama,Achutupo
ACV,KACV,California Redwood Coast-Humboldt County Airport,United States of America,Arcata/Eureka
ACX,ZUYI,Xingyi Airport,China,Xingyi
ACY,KACY,Atlantic City International Airport,United States of America,Atlantic City
ACZ,OIZB,Zabol Airport,Iran,Zabol
ADA,LTAF,Adana Airport,Turkey,Adana
ADB,LTBJ,Adnan Menderes International Airport,Turkey,İzmir
ADC,,Andakombe Airport,Papua New Guinea,Andekombe
ADD,HAAB,Addis Ababa Bole International Airport,Ethiopia,Addis Ababa
ADE,OYAA,Aden International Airport,Yemen,Aden
ADF,LTCP,Adıyaman Airport,Turkey,Adıyaman
ADG,KADG,Lenawee County Airport,United States of America,Adrian
ADH,UEEA,Aldan Airport,Russia,Aldan
ADI,FYAR,Arandis Airport,Namibia,Arandis
ADJ,OJAM,Amman-Marka International Airport,Jordan,Amman
